Nº Eletro,Nº Parada,Nº Parada,SEP,Endereço,Bairro,Latitude,Longitude,Filial,Modelo de Abrigo,QTDE. CAIXA DIGITAL,FACE DIGITAL,DIGITAL  POSIÇÃO,DIGITAL TIPO,TIPO DE PAINEL DIGITAL,QTDE. CAIXA ESTATICA, FACE ESTATICA,ESTATICO POSIÇÃO,ESTATICO  TIPOS,OBSERVAÇÃO
A01622,920016055,920016055,33164,"RUA DOUTOR NETO DE ARAUJO , 45",VILA MARIANA,"-23,586399","-46,634435",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (AA),1,1,180°,SUSPENSO,
A01623,920015298,920015298,30857,"RUA DOUTOR RAFAEL DE BARROS, 132",VILA MARIANA,"-23,572305","-46,645799",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,1,1,180°,SUSPENSO,
A01624,920010994,920010994,33173,"RUA FRANCISCO CRUZ (PRACA MONTEIRO DOS SANTOS ), 707",VILA MARIANA,"-23,58902","-46,629082",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),1,1,180°,SUSPENSO,
A01626,920016720,920016720,,"RUA JOSE DO PATROCINIO, OP 421",VILA MARIANA,"-23,579408","-46,632175",Sul,MINIMALISTA LEVE,,,,,,2,2,180°,SIMPLES,
A01627,920015224,920015224,,"RUA LEONARDO NUNES (RUA PEDRO DE TOLEDO), OP 179",VILA MARIANA,"-23,598801","-46,639209",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01629,920010950,920010950,43147,"RUA LOEFGREEN (RUA JURÉIA ), OP 441",VILA MARIANA,"-23,599677","-46,629935",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),1,1,180°,SUSPENSO,
A01630,9205753,9205753,43146,"RUA LOEFGREEN, OP 1057",VILA MARIANA,"-23,599587","-46,636103",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01631,790015103,790015103,,"RUA LOEFGREEN (RUA BOTUCATU), OP 1765",SAUDE,"-23,59962","-46,642666",Sul,CAOS ESTRUTURADO,,,,,,,,,,
A01632,790015104,790015104,,"RUA LOEFGREEN, 1974",SAUDE,"-23,599461","-46,644748",Sul,CAOS ESTRUTURADO,,,,,,,,,,
A01633,920015105,920015105,30942,"RUA LOEFGREEN (RUA LEANDRO DUPRET ), 2152",VILA MARIANA,"-23,599302","-46,646582",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01634,920015226,920015226,,"RUA MACHADO BITENCOURT (RUA PEDRO DE TOLEDO ), OP 190",VILA MARIANA,"-23,598657","-46,638328",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01635,920015227,920015227,,"RUA MACHADO BITENCOURT (RUA PEDRO DE TOLEDO ), 237",VILA MARIANA,"-23,599438","-46,638329",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01636,920015231-1,920015231,,"RUA PEDRO DE TOLEDO, 39",VILA MARIANA,"-23,598504","-46,636877",Sul,CAOS LEVE,,,,,,1,1,180°,SUSPENSO,
A01637,920015231-2,920015231,,"RUA PEDRO DE TOLEDO, 39",VILA MARIANA,"-23,598504","-46,636877",Sul,CAOS LEVE,,,,,,2,2,180°,SUSPENSO - SIMPLES,
A01638,920015225,920015225,30941,"RUA PEDRO DE TOLEDO (RUA MACHADO BITENCOURT), 179",VILA MARIANA,"-23,598563","-46,638585",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE/DS,,,,,
A01639,920015222,920015222,43151,"RUA PEDRO DE TOLEDO (RUA MARSELHESA), 519",VILA MARIANA,"-23,598568","-46,641686",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01640,920015221,920015221,43152,"RUA PEDRO DE TOLEDO (RUA MARSELHESA), 520",VILA MARIANA,"-23,598423","-46,64171",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01641,920015208,920015208,33161,"RUA PEDRO DE TOLEDO , 844",VILA MARIANA,"-23,598152","-46,645034",Sul,NEW TECH,1,1,90°,SIMPLES,BOE (DS),,,,,
A01642,920015219,920015219,32652,"RUA PEDRO DE TOLEDO , 1082",VILA MARIANA,"-23,597943","-46,647383",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE (AA),,,,,
A01643,920015220,920015220,32500,"RUA PEDRO DE TOLEDO (RUA JOSÉ DE MAGALHÃES), 1366",VILA MARIANA,"-23,597727","-46,649874",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),1,1,180°,SUSPENSO,
A01644,5305689,5305689,43150,"RUA PEDRO DE TOLEDO (HSPE), 1700",MOEMA,"-23,597423","-46,653486",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),2,2,180°,SIMPLES/SUSPENSO,
A01646,540014146-2,540014146,,"AVENIDA PAES DE BARROS, 2226",MOOCA,"-23,570096","-46,587572",Leste,CAOS LEVE,,,,,,,,,,
A01648,920010952,920010952,,"RUA SANTA CRUZ, 398",VILA MARIANA,"-23,596921","-46,633207",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
